X Pixel,Y Pixel (Pixel depth from top of image),Lat,Lon,Delay (microsec)
897,2356,  1.3573,211.1561,88.35
898,2357,  1.3653,211.1552,88.3875
899,2357,  1.3732,211.1542,88.3875
900,2356,  1.3805,211.1533,88.35
901,2356,  1.3885,211.1523,88.35
902,2357,  1.3964,211.1513,88.3875
903,2357,  1.4037,211.1504,88.3875
904,2357,  1.4117,211.1494,88.3875
905,2358,  1.4196,211.1485,88.425
906,2359,  1.4269,211.1476,88.46249999999999
907,2359,  1.4349,211.1466,88.46249999999999
908,2360,  1.4428,211.1456,88.5
909,2361,  1.4507,211.1446,88.5375
910,2361,  1.4580,211.1437,88.5375
911,2362,  1.4660,211.1428,88.575
912,2362,  1.4739,211.1418,88.575
913,2363,  1.4812,211.1409,88.6125
914,2364,  1.4892,211.1399,88.64999999999999
915,2365,  1.4971,211.1389,88.6875
916,2365,  1.5050,211.1380,88.6875
917,2366,  1.5124,211.1371,88.725
918,2366,  1.5203,211.1361,88.725
919,2367,  1.5282,211.1351,88.7625
920,2367,  1.5356,211.1342,88.7625
921,2368,  1.5435,211.1332,88.8
922,2368,  1.5514,211.1322,88.8
923,2369,  1.5587,211.1313,88.83749999999999
924,2369,  1.5667,211.1304,88.83749999999999
925,2370,  1.5746,211.1294,88.875
926,2370,  1.5826,211.1284,88.875
927,2371,  1.5899,211.1275,88.9125
928,2371,  1.5978,211.1265,88.9125
929,2372,  1.6057,211.1256,88.95
930,2373,  1.6131,211.1247,88.9875
931,2373,  1.6210,211.1237,88.9875
932,2374,  1.6289,211.1227,89.02499999999999
933,2374,  1.6369,211.1217,89.02499999999999
934,2374,  1.6442,211.1208,89.02499999999999
935,2375,  1.6521,211.1199,89.0625
936,2375,  1.6601,211.1189,89.0625
937,2375,  1.6674,211.1180,89.0625
938,2376,  1.6753,211.1170,89.1
939,2376,  1.6833,211.1160,89.1
940,2376,  1.6906,211.1151,89.1
941,2376,  1.6985,211.1142,89.1
942,2376,  1.7065,211.1132,89.1
943,2377,  1.7144,211.1122,89.1375
944,2377,  1.7217,211.1113,89.1375
945,2377,  1.7296,211.1103,89.1375
946,2377,  1.7376,211.1093,89.1375
947,2377,  1.7449,211.1084,89.1375
948,2376,  1.7528,211.1075,89.1
949,2376,  1.7608,211.1065,89.1
950,2376,  1.7681,211.1056,89.1
951,2376,  1.7760,211.1046,89.1
952,2376,  1.7840,211.1036,89.1
953,2376,  1.7919,211.1027,89.1
954,2376,  1.7992,211.1018,89.1
955,2376,  1.8072,211.1008,89.1
956,2376,  1.8151,211.0998,89.1
957,2376,  1.8224,211.0989,89.1
958,2376,  1.8304,211.0979,89.1
959,2377,  1.8383,211.0970,89.1375
960,2377,  1.8462,211.0960,89.1375
961,2378,  1.8535,211.0951,89.175
962,2379,  1.8615,211.0941,89.21249999999999
963,2379,  1.8694,211.0931,89.21249999999999
964,2380,  1.8767,211.0922,89.25
965,2381,  1.8847,211.0912,89.2875
966,2381,  1.8926,211.0903,89.2875
967,2381,  1.8999,211.0894,89.2875
968,2381,  1.9079,211.0884,89.2875
969,2382,  1.9158,211.0874,89.325
970,2382,  1.9237,211.0864,89.325
971,2382,  1.9311,211.0855,89.325
972,2382,  1.9390,211.0846,89.325
973,2382,  1.9469,211.0836,89.325
974,2382,  1.9542,211.0827,89.325
975,2381,  1.9622,211.0817,89.2875
976,2381,  1.9701,211.0807,89.2875
977,2381,  1.9780,211.0798,89.2875
978,2381,  1.9854,211.0789,89.2875
979,2381,  1.9933,211.0779,89.2875
980,2382,  2.0012,211.0769,89.325
981,2382,  2.0086,211.0760,89.325
982,2382,  2.0165,211.0750,89.325
983,2383,  2.0244,211.0740,89.3625
984,2384,  2.0317,211.0731,89.39999999999999
985,2385,  2.0397,211.0722,89.4375
