X Pixel,Y Pixel (Pixel depth from top of image),Lat,Lon,Delay (microsec)
848,2373,  0.9610,211.5981,88.9875
849,2373,  0.9683,211.5972,88.9875
850,2374,  0.9763,211.5963,89.02499999999999
851,2374,  0.9842,211.5953,89.02499999999999
852,2374,  0.9915,211.5944,89.02499999999999
853,2374,  0.9994,211.5934,89.02499999999999
854,2375,  1.0074,211.5924,89.0625
855,2375,  1.0153,211.5914,89.0625
856,2376,  1.0226,211.5905,89.1
857,2376,  1.0306,211.5895,89.1
858,2377,  1.0385,211.5885,89.1375
859,2377,  1.0458,211.5876,89.1375
860,2378,  1.0537,211.5867,89.175
861,2378,  1.0617,211.5857,89.175
862,2379,  1.0690,211.5848,89.21249999999999
863,2379,  1.0769,211.5838,89.21249999999999
864,2379,  1.0848,211.5828,89.21249999999999
865,2380,  1.0928,211.5818,89.25
866,2380,  1.1001,211.5809,89.25
867,2380,  1.1080,211.5799,89.25
868,2381,  1.1159,211.5789,89.2875
869,2381,  1.1233,211.5780,89.2875
870,2381,  1.1312,211.5771,89.2875
871,2381,  1.1391,211.5761,89.2875
872,2381,  1.1470,211.5751,89.2875
873,2381,  1.1544,211.5742,89.2875
904,2387,  1.3947,211.5444,89.5125
905,2387,  1.4026,211.5434,89.5125
906,2388,  1.4105,211.5424,89.55
907,2389,  1.4184,211.5415,89.58749999999999
908,2389,  1.4258,211.5406,89.58749999999999
909,2390,  1.4337,211.5396,89.625
910,2390,  1.4416,211.5386,89.625
911,2390,  1.4489,211.5377,89.625
912,2390,  1.4569,211.5367,89.625
913,2391,  1.4648,211.5357,89.6625
914,2391,  1.4727,211.5347,89.6625
915,2391,  1.4800,211.5338,89.6625
916,2391,  1.4880,211.5328,89.6625
917,2391,  1.4959,211.5319,89.6625
918,2391,  1.5032,211.5310,89.6625
919,2392,  1.5111,211.5300,89.7
920,2392,  1.5191,211.5290,89.7
921,2392,  1.5270,211.5280,89.7
922,2392,  1.5343,211.5271,89.7
923,2392,  1.5422,211.5261,89.7
924,2392,  1.5502,211.5251,89.7
925,2392,  1.5575,211.5242,89.7
926,2392,  1.5654,211.5232,89.7
