X Pixel,Y Pixel (Pixel depth from top of image),Lat,Lon,Delay (microsec)
1908,2413,  3.9054,211.1695,90.4875
1909,2412,  3.9133,211.1685,90.45
1910,2412,  3.9212,211.1676,90.45
1911,2412,  3.9291,211.1666,90.45
1912,2412,  3.9364,211.1657,90.45
1913,2412,  3.9444,211.1647,90.45
1914,2412,  3.9523,211.1637,90.45
1915,2412,  3.9596,211.1628,90.45
1916,2412,  3.9675,211.1618,90.45
1917,2412,  3.9754,211.1609,90.45
1918,2412,  3.9834,211.1599,90.45
1919,2412,  3.9907,211.1590,90.45
1920,2412,  3.9986,211.1580,90.45
1921,2412,  4.0065,211.1570,90.45
1922,2412,  4.0144,211.1561,90.45
1923,2412,  4.0218,211.1552,90.45
1924,2412,  4.0297,211.1542,90.45
1925,2412,  4.0376,211.1532,90.45
1926,2412,  4.0449,211.1523,90.45
1933,2413,  4.0998,211.1455,90.4875
1936,2414,  4.1229,211.1427,90.52499999999999
2068,2418,  5.1465,211.0164,90.675
