X Pixel,Y Pixel (Pixel depth from top of image),Lat,Lon,Delay (microsec)
1543,2372,  1.0598,211.4748,88.95
1544,2372,  1.0677,211.4738,88.95
1545,2372,  1.0756,211.4728,88.95
1546,2371,  1.0830,211.4719,88.9125
1547,2371,  1.0909,211.4709,88.9125
1548,2371,  1.0988,211.4699,88.9125
1549,2370,  1.1062,211.4690,88.875
1550,2370,  1.1141,211.4680,88.875
1551,2369,  1.1220,211.4670,88.83749999999999
1552,2369,  1.1300,211.4661,88.83749999999999
1553,2369,  1.1373,211.4652,88.83749999999999
1554,2369,  1.1452,211.4642,88.83749999999999
1555,2369,  1.1532,211.4632,88.83749999999999
1556,2369,  1.1605,211.4623,88.83749999999999
1557,2369,  1.1684,211.4613,88.83749999999999
1558,2369,  1.1763,211.4603,88.83749999999999
1559,2369,  1.1837,211.4594,88.83749999999999
1560,2369,  1.1916,211.4584,88.83749999999999
1561,2370,  1.1995,211.4574,88.875
1562,2370,  1.2075,211.4564,88.875
1563,2371,  1.2148,211.4555,88.9125
1564,2371,  1.2227,211.4546,88.9125
1565,2372,  1.2307,211.4536,88.95
1566,2373,  1.2380,211.4527,88.9875
1567,2373,  1.2459,211.4517,88.9875
1568,2374,  1.2539,211.4507,89.02499999999999
1569,2374,  1.2612,211.4498,89.02499999999999
1570,2375,  1.2691,211.4488,89.0625
1571,2375,  1.2770,211.4478,89.0625
1572,2375,  1.2850,211.4468,89.0625
1573,2376,  1.2923,211.4459,89.1
1574,2376,  1.3002,211.4449,89.1
1575,2376,  1.3082,211.4440,89.1
1576,2376,  1.3155,211.4430,89.1
1577,2376,  1.3234,211.4421,89.1
1578,2377,  1.3314,211.4411,89.1375
1579,2377,  1.3393,211.4401,89.1375
1580,2377,  1.3466,211.4392,89.1375
1581,2377,  1.3546,211.4382,89.1375
1582,2377,  1.3625,211.4372,89.1375
1583,2377,  1.3698,211.4363,89.1375
1584,2378,  1.3777,211.4353,89.175
1585,2378,  1.3857,211.4343,89.175
1586,2378,  1.3930,211.4334,89.175
1587,2378,  1.4009,211.4324,89.175
1588,2378,  1.4089,211.4315,89.175
1589,2379,  1.4168,211.4305,89.21249999999999
1590,2379,  1.4241,211.4296,89.21249999999999
1591,2379,  1.4321,211.4286,89.21249999999999
1657,2389,  1.9440,211.3651,89.58749999999999
1658,2389,  1.9513,211.3642,89.58749999999999
1659,2389,  1.9593,211.3632,89.58749999999999
1660,2390,  1.9672,211.3622,89.625
1661,2390,  1.9745,211.3613,89.625
1662,2390,  1.9825,211.3603,89.625
1663,2390,  1.9904,211.3593,89.625
1664,2390,  1.9983,211.3583,89.625
1665,2390,  2.0056,211.3574,89.625
1666,2390,  2.0136,211.3565,89.625
1667,2390,  2.0215,211.3555,89.625
1668,2390,  2.0288,211.3546,89.625
1669,2390,  2.0367,211.3536,89.625
1670,2390,  2.0447,211.3526,89.625
1671,2390,  2.0526,211.3516,89.625
1672,2390,  2.0599,211.3507,89.625
1673,2390,  2.0679,211.3497,89.625
1674,2390,  2.0758,211.3487,89.625
1675,2390,  2.0831,211.3478,89.625
1676,2390,  2.0910,211.3468,89.625
1677,2389,  2.0990,211.3459,89.58749999999999
1678,2389,  2.1063,211.3449,89.58749999999999
1679,2390,  2.1142,211.3440,89.625
1680,2391,  2.1222,211.3430,89.6625
1681,2391,  2.1301,211.3420,89.6625
1682,2392,  2.1374,211.3411,89.7
1683,2392,  2.1453,211.3401,89.7
1684,2392,  2.1533,211.3391,89.7
1685,2393,  2.1606,211.3382,89.7375
1686,2393,  2.1685,211.3372,89.7375
1687,2393,  2.1765,211.3362,89.7375
1688,2393,  2.1844,211.3353,89.7375
1689,2393,  2.1917,211.3343,89.7375
1690,2394,  2.1996,211.3334,89.77499999999999
1691,2394,  2.2076,211.3324,89.77499999999999
1692,2394,  2.2149,211.3315,89.77499999999999
1693,2394,  2.2228,211.3305,89.77499999999999
1694,2394,  2.2308,211.3295,89.77499999999999
1695,2394,  2.2387,211.3285,89.77499999999999
1696,2394,  2.2460,211.3276,89.77499999999999
1697,2394,  2.2539,211.3266,89.77499999999999
1698,2394,  2.2619,211.3256,89.77499999999999
1699,2393,  2.2692,211.3247,89.7375
1793,2411,  2.9982,211.2342,90.4125
1794,2411,  3.0061,211.2333,90.4125
1795,2411,  3.0140,211.2323,90.4125
1796,2411,  3.0214,211.2314,90.4125
1797,2411,  3.0293,211.2304,90.4125
1798,2411,  3.0372,211.2294,90.4125
1799,2411,  3.0445,211.2285,90.4125
1800,2411,  3.0525,211.2275,90.4125
1801,2411,  3.0604,211.2265,90.4125
1802,2411,  3.0677,211.2256,90.4125
1803,2411,  3.0756,211.2246,90.4125
1804,2411,  3.0836,211.2236,90.4125
1805,2411,  3.0915,211.2226,90.4125
1806,2411,  3.0988,211.2217,90.4125
1807,2411,  3.1067,211.2208,90.4125
1808,2411,  3.1147,211.2198,90.4125
1809,2411,  3.1220,211.2189,90.4125
1810,2411,  3.1299,211.2179,90.4125
1811,2411,  3.1379,211.2169,90.4125
1812,2411,  3.1458,211.2159,90.4125
1813,2411,  3.1531,211.2150,90.4125
1814,2411,  3.1610,211.2140,90.4125
1815,2411,  3.1690,211.2130,90.4125
1816,2411,  3.1763,211.2121,90.4125
1817,2411,  3.1842,211.2111,90.4125
1818,2411,  3.1921,211.2101,90.4125
1819,2411,  3.2001,211.2092,90.4125
