X Pixel,Y Pixel (Pixel depth from top of image),Lat,Lon,Delay (microsec)
1297,2390,  1.6571,210.7656,89.625
1298,2390,  1.6644,210.7647,89.625
1299,2390,  1.6724,210.7638,89.625
1300,2390,  1.6803,210.7628,89.625
1301,2390,  1.6876,210.7619,89.625
1302,2390,  1.6956,210.7609,89.625
1303,2390,  1.7035,210.7599,89.625
1304,2390,  1.7114,210.7590,89.625
1305,2390,  1.7187,210.7581,89.625
1306,2390,  1.7267,210.7571,89.625
1307,2390,  1.7346,210.7561,89.625
1308,2390,  1.7419,210.7552,89.625
1309,2390,  1.7499,210.7542,89.625
1310,2390,  1.7578,210.7533,89.625
1311,2390,  1.7657,210.7523,89.625
1312,2390,  1.7730,210.7514,89.625
1313,2390,  1.7810,210.7504,89.625
1314,2390,  1.7889,210.7495,89.625
1315,2389,  1.7962,210.7486,89.58749999999999
1316,2389,  1.8042,210.7476,89.58749999999999
1317,2389,  1.8121,210.7466,89.58749999999999
1318,2388,  1.8200,210.7456,89.55
1319,2388,  1.8273,210.7447,89.55
1320,2387,  1.8353,210.7438,89.5125
1321,2387,  1.8432,210.7428,89.5125
1322,2387,  1.8505,210.7419,89.5125
1323,2386,  1.8584,210.7409,89.475
1324,2386,  1.8664,210.7399,89.475
1325,2386,  1.8743,210.7390,89.475
1326,2385,  1.8816,210.7381,89.4375
1327,2385,  1.8896,210.7371,89.4375
1328,2385,  1.8975,210.7361,89.4375
1329,2384,  1.9048,210.7352,89.39999999999999
1330,2384,  1.9127,210.7342,89.39999999999999
1331,2384,  1.9207,210.7333,89.39999999999999
1332,2383,  1.9286,210.7323,89.3625
1333,2383,  1.9359,210.7314,89.3625
1334,2383,  1.9438,210.7304,89.3625
1335,2383,  1.9518,210.7294,89.3625
1336,2383,  1.9591,210.7285,89.3625
1402,2399,  2.4709,210.6657,89.96249999999999
1403,2399,  2.4788,210.6647,89.96249999999999
1404,2399,  2.4867,210.6637,89.96249999999999
1405,2399,  2.4946,210.6627,89.96249999999999
1406,2399,  2.5020,210.6618,89.96249999999999
1407,2399,  2.5099,210.6609,89.96249999999999
1408,2399,  2.5178,210.6599,89.96249999999999
1409,2399,  2.5251,210.6590,89.96249999999999
1410,2400,  2.5331,210.6580,90.0
1411,2400,  2.5410,210.6570,90.0
1412,2400,  2.5489,210.6561,90.0
1413,2400,  2.5562,210.6552,90.0
1414,2400,  2.5642,210.6542,90.0
1415,2400,  2.5721,210.6532,90.0
1416,2400,  2.5794,210.6523,90.0
1417,2400,  2.5874,210.6513,90.0
1418,2400,  2.5953,210.6504,90.0
1419,2400,  2.6032,210.6494,90.0
1420,2400,  2.6105,210.6485,90.0
1421,2400,  2.6185,210.6475,90.0
1422,2400,  2.6264,210.6466,90.0
1423,2400,  2.6337,210.6457,90.0
1424,2400,  2.6416,210.6447,90.0
1425,2400,  2.6496,210.6437,90.0
1426,2400,  2.6575,210.6427,90.0
1427,2400,  2.6648,210.6418,90.0
1428,2400,  2.6727,210.6409,90.0
1429,2400,  2.6807,210.6399,90.0
1430,2400,  2.6880,210.6390,90.0
1431,2400,  2.6959,210.6380,90.0
1432,2400,  2.7038,210.6370,90.0
1433,2399,  2.7118,210.6361,89.96249999999999
1434,2399,  2.7191,210.6352,89.96249999999999
1435,2398,  2.7270,210.6342,89.925
1436,2398,  2.7349,210.6332,89.925
1437,2398,  2.7423,210.6323,89.925
1438,2397,  2.7502,210.6313,89.8875
1439,2397,  2.7581,210.6304,89.8875
1440,2396,  2.7661,210.6294,89.85
1441,2395,  2.7734,210.6285,89.8125
1442,2395,  2.7813,210.6275,89.8125
1443,2394,  2.7892,210.6265,89.77499999999999
1444,2394,  2.7965,210.6256,89.77499999999999
1445,2393,  2.8045,210.6247,89.7375
1446,2392,  2.8124,210.6237,89.7
1447,2392,  2.8203,210.6227,89.7
1448,2392,  2.8277,210.6218,89.7
1449,2391,  2.8356,210.6208,89.6625
1450,2391,  2.8435,210.6199,89.6625
1451,2391,  2.8508,210.6190,89.6625
1452,2391,  2.8588,210.6180,89.6625
1453,2391,  2.8667,210.6170,89.6625
1454,2391,  2.8746,210.6160,89.6625
1455,2391,  2.8819,210.6151,89.6625
1456,2391,  2.8899,210.6142,89.6625
1457,2391,  2.8978,210.6132,89.6625
1458,2391,  2.9051,210.6123,89.6625
1459,2390,  2.9130,210.6113,89.625
1460,2390,  2.9210,210.6103,89.625
1461,2390,  2.9289,210.6094,89.625
1462,2390,  2.9362,210.6085,89.625
1463,2390,  2.9441,210.6075,89.625
1464,2390,  2.9521,210.6065,89.625
1465,2390,  2.9594,210.6056,89.625
1466,2390,  2.9673,210.6046,89.625
1467,2390,  2.9752,210.6037,89.625
1468,2390,  2.9832,210.6027,89.625
1469,2390,  2.9905,210.6018,89.625
1470,2390,  2.9984,210.6008,89.625
1471,2390,  3.0063,210.5998,89.625
1472,2390,  3.0136,210.5989,89.625
1473,2390,  3.0216,210.5980,89.625
1474,2390,  3.0295,210.5970,89.625
1475,2390,  3.0374,210.5960,89.625
1476,2390,  3.0447,210.5951,89.625
1477,2390,  3.0527,210.5941,89.625
1478,2390,  3.0606,210.5932,89.625
1479,2390,  3.0679,210.5923,89.625
1480,2391,  3.0758,210.5913,89.6625
1481,2391,  3.0838,210.5903,89.6625
1482,2391,  3.0917,210.5893,89.6625
1483,2391,  3.0990,210.5884,89.6625
1484,2391,  3.1069,210.5875,89.6625
1485,2391,  3.1149,210.5865,89.6625
1486,2391,  3.1228,210.5855,89.6625
1487,2391,  3.1301,210.5846,89.6625
1488,2391,  3.1380,210.5836,89.6625
1489,2391,  3.1460,210.5827,89.6625
1490,2391,  3.1533,210.5818,89.6625
1491,2391,  3.1612,210.5808,89.6625
1492,2391,  3.1691,210.5798,89.6625
1493,2391,  3.1771,210.5788,89.6625
1494,2391,  3.1844,210.5779,89.6625
1495,2391,  3.1923,210.5770,89.6625
1496,2391,  3.2002,210.5760,89.6625
1497,2391,  3.2076,210.5751,89.6625
1498,2391,  3.2155,210.5741,89.6625
1499,2391,  3.2234,210.5731,89.6625
1500,2391,  3.2313,210.5722,89.6625
1501,2391,  3.2387,210.5713,89.6625
1502,2391,  3.2466,210.5703,89.6625
1503,2391,  3.2545,210.5693,89.6625
1504,2392,  3.2618,210.5684,89.7
1505,2392,  3.2698,210.5674,89.7
1506,2392,  3.2777,210.5665,89.7
1507,2392,  3.2856,210.5655,89.7
1508,2392,  3.2929,210.5646,89.7
1509,2392,  3.3009,210.5636,89.7
1510,2392,  3.3088,210.5626,89.7
1511,2392,  3.3161,210.5617,89.7
1512,2392,  3.3240,210.5608,89.7
1513,2392,  3.3320,210.5598,89.7
1514,2392,  3.3399,210.5588,89.7
1515,2392,  3.3472,210.5579,89.7
1516,2392,  3.3551,210.5570,89.7
1517,2392,  3.3631,210.5560,89.7
1518,2392,  3.3704,210.5551,89.7
1519,2392,  3.3783,210.5541,89.7
1520,2392,  3.3862,210.5531,89.7
1521,2393,  3.3942,210.5522,89.7375
1522,2393,  3.4015,210.5513,89.7375
1523,2393,  3.4094,210.5503,89.7375
1524,2393,  3.4173,210.5493,89.7375
1525,2393,  3.4246,210.5484,89.7375
1526,2393,  3.4326,210.5474,89.7375
1527,2393,  3.4405,210.5465,89.7375
1528,2393,  3.4484,210.5455,89.7375
1529,2394,  3.4557,210.5446,89.77499999999999
1530,2394,  3.4637,210.5436,89.77499999999999
1531,2394,  3.4716,210.5426,89.77499999999999
1532,2394,  3.4789,210.5417,89.77499999999999
1533,2394,  3.4868,210.5408,89.77499999999999
1534,2394,  3.4948,210.5398,89.77499999999999
1535,2394,  3.5027,210.5388,89.77499999999999
1536,2394,  3.5100,210.5379,89.77499999999999
1537,2394,  3.5179,210.5369,89.77499999999999
1538,2394,  3.5259,210.5360,89.77499999999999
1539,2394,  3.5338,210.5350,89.77499999999999
1540,2394,  3.5411,210.5341,89.77499999999999
1541,2394,  3.5490,210.5331,89.77499999999999
1542,2394,  3.5570,210.5321,89.77499999999999
1543,2394,  3.5643,210.5312,89.77499999999999
1544,2394,  3.5722,210.5303,89.77499999999999
1545,2394,  3.5801,210.5293,89.77499999999999
1546,2394,  3.5880,210.5283,89.77499999999999
1547,2394,  3.5954,210.5274,89.77499999999999
1548,2394,  3.6033,210.5264,89.77499999999999
1549,2394,  3.6112,210.5255,89.77499999999999
1550,2394,  3.6185,210.5246,89.77499999999999
1551,2394,  3.6265,210.5236,89.77499999999999
1552,2394,  3.6344,210.5226,89.77499999999999
1553,2394,  3.6423,210.5216,89.77499999999999
1554,2394,  3.6496,210.5207,89.77499999999999
1555,2394,  3.6576,210.5198,89.77499999999999
1556,2394,  3.6655,210.5188,89.77499999999999
1557,2394,  3.6728,210.5179,89.77499999999999
1558,2394,  3.6807,210.5169,89.77499999999999
1559,2394,  3.6886,210.5159,89.77499999999999
1560,2394,  3.6966,210.5150,89.77499999999999
1561,2394,  3.7039,210.5141,89.77499999999999
1562,2394,  3.7118,210.5131,89.77499999999999
1563,2394,  3.7197,210.5121,89.77499999999999
1564,2394,  3.7271,210.5112,89.77499999999999
1565,2394,  3.7350,210.5102,89.77499999999999
1566,2394,  3.7429,210.5093,89.77499999999999
1567,2394,  3.7508,210.5083,89.77499999999999
1568,2394,  3.7582,210.5074,89.77499999999999
1569,2394,  3.7661,210.5064,89.77499999999999
1570,2393,  3.7740,210.5054,89.7375
1571,2393,  3.7819,210.5045,89.7375
1572,2393,  3.7893,210.5036,89.7375
1573,2393,  3.7972,210.5026,89.7375
1574,2393,  3.8051,210.5016,89.7375
1575,2393,  3.8124,210.5007,89.7375
1576,2393,  3.8203,210.4997,89.7375
1577,2393,  3.8283,210.4988,89.7375
1578,2393,  3.8362,210.4978,89.7375
1579,2392,  3.8435,210.4969,89.7
1580,2392,  3.8514,210.4959,89.7
1581,2392,  3.8594,210.4949,89.7
1582,2392,  3.8667,210.4940,89.7
1583,2392,  3.8746,210.4931,89.7
1584,2392,  3.8825,210.4921,89.7
1585,2392,  3.8905,210.4911,89.7
1586,2391,  3.8978,210.4902,89.6625
1587,2391,  3.9057,210.4892,89.6625
1588,2391,  3.9136,210.4883,89.6625
1589,2391,  3.9209,210.4874,89.6625
1590,2391,  3.9289,210.4864,89.6625
1591,2390,  3.9368,210.4854,89.625
1592,2390,  3.9447,210.4844,89.625
1593,2390,  3.9520,210.4835,89.625
1594,2390,  3.9600,210.4826,89.625
1595,2389,  3.9679,210.4816,89.58749999999999
1596,2389,  3.9752,210.4807,89.58749999999999
1597,2389,  3.9831,210.4797,89.58749999999999
1598,2389,  3.9911,210.4787,89.58749999999999
1599,2388,  3.9990,210.4778,89.55
1600,2388,  4.0063,210.4769,89.55
1601,2388,  4.0142,210.4759,89.55
1602,2387,  4.0221,210.4749,89.5125
1603,2387,  4.0301,210.4739,89.5125
1604,2387,  4.0374,210.4730,89.5125
1605,2386,  4.0453,210.4720,89.475
1606,2386,  4.0532,210.4711,89.475
1607,2386,  4.0605,210.4702,89.475
1608,2386,  4.0685,210.4692,89.475
1609,2385,  4.0764,210.4682,89.4375
1610,2385,  4.0843,210.4672,89.4375
1611,2385,  4.0916,210.4663,89.4375
1612,2384,  4.0996,210.4654,89.39999999999999
1613,2384,  4.1075,210.4644,89.39999999999999
1614,2384,  4.1148,210.4635,89.39999999999999
1615,2384,  4.1227,210.4625,89.39999999999999
1616,2384,  4.1307,210.4615,89.39999999999999
1617,2383,  4.1386,210.4606,89.3625
1618,2383,  4.1459,210.4597,89.3625
1619,2383,  4.1538,210.4587,89.3625
1620,2383,  4.1617,210.4577,89.3625
1621,2382,  4.1697,210.4567,89.325
1622,2382,  4.1770,210.4558,89.325
1623,2382,  4.1849,210.4549,89.325
1624,2382,  4.1928,210.4539,89.325
1625,2382,  4.2001,210.4530,89.325
1626,2382,  4.2081,210.4520,89.325
1627,2382,  4.2160,210.4510,89.325
